Date|StockPrice
2019-11-25|58.81
2019-11-22|57.61
2019-11-21|58.22
2019-11-20|57.9
2019-11-19|58.35
2019-11-18|58.25
2019-11-15|57.96
2019-11-14|57.81
2019-11-13|57.89
2019-11-12|58.2
2019-11-11|58.35
2019-11-08|58.27
2019-11-07|58.05
2019-11-06|57.6
2019-11-05|57.23499999999997
2019-11-04|57.29467158992178
2019-11-01|56.200692441355315
2019-10-31|56.22058297132926
2019-10-30|56.29019982623803
2019-10-29|56.03162293657687
2019-10-28|56.44932406602951
2019-10-25|56.150966116420484
2019-10-24|51.94411902693308
2019-10-23|51.43691051259772
2019-10-22|51.72532319721979
2019-10-21|51.844666377063405
2019-10-18|51.07888097306688
2019-10-17|51.576144222415266
2019-10-16|52.15794222415289
2019-10-15|52.361820156385726
2019-10-14|51.35734839270198
2019-10-11|51.804885317115534
2019-10-10|50.830249348392684
2019-10-09|50.203697654213705
2019-10-08|49.45283014769763
2019-10-07|50.34293136403125
2019-10-04|50.64128931364029
2019-10-03|49.75616072980016
2019-10-02|49.11966377063421
2019-10-01|50.482165073848805
2019-09-30|51.24795047784533
2019-09-27|50.50205560382275
2019-09-26|50.64128931364029
2019-09-25|50.740741963509976
2019-09-24|49.54731016507383
2019-09-23|50.62139878366636
2019-09-20|50.442384013900934
2019-09-19|51.2877315377932
2019-09-18|51.456801042571655
2019-09-17|51.66565160729798
2019-09-16|51.91428323197218
2019-09-13|52.25242224152908
2019-09-12|52.71984969591657
2019-09-11|52.50105386620328
2019-09-10|51.536363162467396
2019-09-09|51.30762206776714
2019-09-06|50.64128931364029
2019-09-05|49.82577758470893
2019-09-04|48.65223631624672
2019-09-03|46.722854908774956
2019-08-30|47.150501303214575
2019-08-29|46.61345699391831
2019-08-28|45.539368375325786
2019-08-27|45.539368375325786
2019-08-26|45.310627280625525
2019-08-23|44.713911381407456
2019-08-22|46.523949609035604
2019-08-21|46.89192441355341
2019-08-20|46.34493483927018
2019-08-19|46.97148653344915
2019-08-16|46.245482189400505
2019-08-15|45.44986099044308
2019-08-14|45.61893049522153
2019-08-13|46.58362119895741
2019-08-12|45.350408340573395
2019-08-09|45.72832841007817
2019-08-08|46.91181494352735
2019-08-07|46.47422328410076
2019-08-06|46.70296437880103
2019-08-05|46.39963379669848
2019-08-02|48.08886892108329
2019-08-01|48.898911495349694
2019-07-31|49.936161133129836
2019-07-30|51.07219645069857
2019-07-29|51.87236045698611
2019-07-26|50.96353220293113
2019-07-25|51.52661057772605
2019-07-24|52.27738174411931
2019-07-23|51.12158929059286
2019-07-22|50.72644657143852
2019-07-19|49.6595612297218
2019-07-18|49.333568486419466
2019-07-17|48.79024724758225
2019-07-16|48.572918752047364
2019-07-15|49.511382710038916
2019-07-12|49.31381135046175
2019-07-11|48.009840377252424
2019-07-10|47.62457622607694
2019-07-09|47.17016209904945
2019-07-08|47.23931207490146
2019-07-05|47.49615484235178
2019-07-03|47.93081183342156
2019-07-02|47.535669114267215
2019-07-01|47.45664057043635
2019-06-28|47.28870491479575
2019-06-27|46.883683627662556
2019-06-26|47.60481909011922
2019-06-25|46.281090980952186
2019-06-24|47.05161928330315
2019-06-21|46.883683627662556
2019-06-20|46.61696229223337
2019-06-19|46.49841947648707
2019-06-18|46.794776515852824
2019-06-17|45.56983408647437
2019-06-14|45.62910549434752
2019-06-13|46.13291246126931
2019-06-12|45.75752687807268
2019-06-11|46.281090980952186
2019-06-10|46.23169814105789
2019-06-07|45.47104840668578
2019-06-06|44.55234158465194
2019-06-05|44.00902034581472
2019-06-04|44.24610597730732
2019-06-03|42.93225643611915
2019-05-31|43.50521337889294
2019-05-30|44.186834569434176
2019-05-29|43.69290617049125
2019-05-28|43.04092068388659
2019-05-24|44.02877748177244
2019-05-23|43.98926320985701
2019-05-22|43.4656991069775
2019-05-21|43.920113234004994
2019-05-20|43.03104211590773
2019-05-17|44.344891657095914
2019-05-16|44.97712000774286
2019-05-15|45.06602711955258
2019-05-14|44.621491560503955
2019-05-13|44.25104526129676
2019-05-10|45.63898406232638
2019-05-09|46.053883917438434
2019-05-08|48.58773660401565
2019-05-07|49.86701115727782
2019-05-06|50.598025187713354
2019-05-03|50.810414399258825
2019-05-02|49.63220189144992
2019-05-01|49.838389080316475
2019-04-30|50.11330533213855
2019-04-29|50.18203439509407
2019-04-26|51.478068153683864
2019-04-25|56.55420037482721
2019-04-24|57.65386538211552
2019-04-23|57.712776007505965
2019-04-22|57.75204975776626
2019-04-18|57.428041318118815
2019-04-17|57.496770381074334
2019-04-16|55.68035943153561
2019-04-15|55.25816661623742
2019-04-12|55.39562474214846
2019-04-11|54.786881613113856
2019-04-10|54.73778942528849
2019-04-09|54.3155966099903
2019-04-08|54.66906036233297
2019-04-05|54.59051286181238
2019-04-04|54.90470286389475
2019-04-03|54.472691611031486
2019-04-02|53.37302660374318
2019-04-01|53.52030316721929
2019-03-29|52.725009724448284
2019-03-28|52.14572190810891
2019-03-27|52.19481409593428
2019-03-26|52.469730347756354
2019-03-25|51.82171346846146
2019-03-22|52.29299847158502
2019-03-21|53.647942855565255
2019-03-20|52.84283097522918
2019-03-19|53.18647629000677
2019-03-18|53.117747227051254
2019-03-15|53.34357129104796
2019-03-14|52.469730347756354
2019-03-13|53.38284504130825
2019-03-12|52.59737003610232
2019-03-11|52.38136440967069
2019-03-08|51.52716034150923
2019-03-07|51.64498159229013
2019-03-06|51.988626907067726
2019-03-05|52.70537284931814
2019-03-04|52.96065222601006
2019-03-01|52.332272221845315
2019-02-28|51.9984453446328
2019-02-27|52.273361596454876
2019-02-26|52.263543158889796
2019-02-25|52.13590347054384
2019-02-22|51.53697877907431
2019-02-21|50.476587522046295
2019-02-20|50.456950646916155
2019-02-19|50.46676908448122
2019-02-15|50.72204846117315
