date,investment_amount,stock_selection,returns_amount
2015-04-08,7422.890918601466,"['JPM', 'JNJ', 'V']",35.76469581443234
2015-04-09,7459.029709615232,"['TSLA', 'V', 'DIS']",36.13879101376551
2015-04-10,7497.136464744378,"['AAPL', 'TSLA', 'JNJ']",38.10675512914622
2015-04-13,7431.237899540514,"['TSLA', 'JNJ', 'INTC']",-65.89856520386365
2015-04-14,7488.1536131078965,"['JPM', 'BAC', 'FB']",56.91571356738223
2015-04-15,7517.759215761233,"['JPM', 'DIS', 'FB']",29.605602653336064
2015-04-16,7499.567701675098,"['JPM', 'MSFT', 'INTC']",-18.191514086134703
2015-04-17,7400.126407304821,"['BAC', 'DIS', 'INTC']",-99.44129437027641
2015-04-20,7399.186080575893,"['BAC', 'TSLA', 'JNJ']",-0.9403267289280848
2015-04-21,7389.274295054542,"['AAPL', 'DIS', 'FB']",-9.911785521351703
2015-04-22,7637.255441916843,"['TSLA', 'FB', 'V']",247.9811468623011
2015-04-23,7637.437662263954,"['AAPL', 'TSLA', 'V']",0.1822203471110697
2015-04-24,7927.886910821748,"['AAPL', 'DIS', 'MSFT']",290.4492485577939
2015-04-27,7971.7212440573985,"['JNJ', 'AAPL', 'MSFT']",43.834333235650774
2015-04-28,7911.786044896486,"['AAPL', 'TSLA', 'DIS']",-59.935199160912816
2015-04-29,7931.204806361826,"['JPM', 'MSFT', 'INTC']",19.41876146534014
2015-04-30,7793.6374407329895,"['JPM', 'TSLA', 'V']",-137.56736562883634
2015-05-01,7906.801751893782,"['JPM', 'BAC', 'INTC']",113.16431116079275
2015-05-04,7919.644920661495,"['AAPL', 'DIS', 'JNJ']",12.843168767712996
2015-05-05,7929.3053083928335,"['JPM', 'TSLA', 'DIS']",9.660387731338233
2015-05-06,7879.392708081834,"['BAC', 'TSLA', 'V']",-49.91260031099955
2015-05-07,7918.656059517254,"['BAC', 'FB', 'V']",39.26335143542019
2015-05-08,8080.843002389335,"['AAPL', 'TSLA', 'V']",162.1869428720811
2015-05-11,8024.276119807175,"['AAPL', 'JNJ', 'V']",-56.56688258216036
2015-05-12,8069.500723476132,"['BAC', 'JPM', 'TSLA']",45.22460366895757
2015-05-13,8066.746320577993,"['TSLA', 'MSFT', 'DIS']",-2.754402898139233
2015-05-14,8256.196039242615,"['MSFT', 'FB', 'INTC']",189.4497186646222
2015-05-15,8203.318374323284,"['AAPL', 'FB', 'V']",-52.87766491933144
2015-05-18,8233.010282173103,"['TSLA', 'JNJ', 'DIS']",29.691907849819472
2015-05-19,8269.18767720553,"['JPM', 'AAPL', 'JNJ']",36.17739503242592
2015-05-20,8232.910623040694,"['JPM', 'BAC', 'JNJ']",-36.277054164835135
2015-05-21,8266.548535598857,"['AAPL', 'MSFT', 'INTC']",33.6379125581625
2015-05-22,8311.09264347948,"['AAPL', 'TSLA', 'DIS']",44.544107880623415
2015-05-26,8204.00712874705,"['AAPL', 'TSLA', 'V']",-107.08551473243097
2015-05-27,8303.37826404826,"['MSFT', 'BAC', 'TSLA']",99.37113530121132
2015-05-28,8274.605776675451,"['MSFT', 'AAPL', 'FB']",-28.772487372809337
2015-05-29,8299.977992879354,"['TSLA', 'INTC', 'DIS']",25.372216203903008
2015-06-01,8278.592626031057,"['BAC', 'DIS', 'INTC']",-21.385366848297053
2015-06-02,8275.902221430217,"['DIS', 'FB', 'V']",-2.6904046008403384
2015-06-03,8390.247636252523,"['JNJ', 'BAC', 'FB']",114.34541482230634
2015-06-04,8327.019423449576,"['JPM', 'TSLA', 'FB']",-63.22821280294738
2015-06-05,8400.075852199645,"['JPM', 'BAC', 'INTC']",73.05642875006924
2015-06-08,8440.503976916054,"['BAC', 'JPM', 'TSLA']",40.428124716409
2015-06-09,8470.285205874075,"['BAC', 'TSLA', 'MSFT']",29.78122895802153
2015-06-10,8604.74361674929,"['JPM', 'JNJ', 'V']",134.45841087521512
2015-06-11,8609.801561992379,"['DIS', 'FB', 'V']",5.0579452430883975
2015-06-12,8558.46195577237,"['TSLA', 'JNJ', 'DIS']",-51.339606220008136
2015-06-15,8515.6391725093,"['JPM', 'BAC', 'FB']",-42.82278326307096
2015-06-16,8573.463889927085,"['BAC', 'DIS', 'INTC']",57.824717417784996
2015-06-17,8677.58587011724,"['TSLA', 'JNJ', 'DIS']",104.12198019015523
2015-06-18,8778.341046702828,"['TSLA', 'FB', 'DIS']",100.75517658558783
2015-06-19,8755.183562191376,"['JNJ', 'DIS', 'TSLA']",-23.157484511451912
2015-06-22,8793.225901441501,"['BAC', 'TSLA', 'INTC']",38.042339250125224
2015-06-23,8911.232976015806,"['AAPL', 'DIS', 'FB']",118.00707457430508
2015-06-24,8899.998272490431,"['TSLA', 'FB', 'DIS']",-11.234703525375153
2015-06-25,8863.930434608188,"['AAPL', 'FB', 'INTC']",-36.06783788224311
2015-06-26,8769.593401366858,"['TSLA', 'INTC', 'DIS']",-94.33703324133057
2015-06-29,8588.58151643971,"['JPM', 'DIS', 'JNJ']",-181.01188492714755
2015-06-30,8598.776723572459,"['BAC', 'MSFT', 'INTC']",10.195207132748692
2015-07-01,8676.813007714441,"['AAPL', 'TSLA', 'DIS']",78.03628414198283
